Rk,Team,Conf,Rec,Elo,Prev,Change,Last 3,Next Game
250,Western Illinois,Sum,0-0,923,923,0,0,Away Team
251,Stony Brook,AE,0-0,923,923,0,0,Away Team
252,South Florida,Amer,0-0,922,922,0,0,Away Team
253,Georgia Southern,SB,0-0,917,917,0,0,Away Team
254,Youngstown St.,Horz,0-0,915,915,0,0,Away Team
255,Northeastern,CAA,0-0,913,913,0,0,Away Team
256,Portland St.,BSky,0-0,913,913,0,0,Away Team
257,Manhattan,MAAC,0-0,912,912,0,0,Away Team
258,Canisius,MAAC,0-0,912,912,0,0,Away Team
259,Tennessee Tech,OVC,0-0,910,910,0,0,Away Team
260,Eastern Kentucky,ASun,0-0,910,910,0,0,Away Team
261,UC San Diego,BW,0-0,909,909,0,0,Away Team
262,USC Upstate,BSth,0-0,909,909,0,0,Away Team
263,Presbyterian,BSth,0-0,909,909,0,0,Away Team
264,Lipscomb,ASun,0-0,908,908,0,0,Away Team
265,Alcorn St.,SWAC,0-0,908,908,0,0,Away Team
266,Miami OH,MAC,0-0,907,907,0,0,Away Team
267,Ball St.,MAC,0-0,905,905,0,0,Away Team
268,Louisiana Monroe,SB,0-0,905,905,0,0,Away Team
269,Air Force,MWC,0-0,904,904,0,0,Away Team
270,New Orleans,Slnd,0-0,904,904,0,0,Away Team
271,Loyola MD,Pat,0-0,903,903,0,0,Away Team
272,North Florida,ASun,0-0,902,902,0,0,Away Team
273,Tennessee St.,OVC,0-0,902,902,0,0,Away Team
274,Southeastern Louisiana,Slnd,0-0,901,901,0,0,Away Team
275,FIU,CUSA,0-0,900,900,0,0,Away Team
276,Cal St. Bakersfield,BW,0-0,897,897,0,0,Away Team
277,Jackson St.,SWAC,0-0,896,896,0,0,Away Team
278,Dixie St.,WAC,0-0,895,895,0,0,Away Team
279,Pepperdine,WCC,0-0,890,890,0,0,Away Team
280,Duquesne,A10,0-0,888,888,0,0,Away Team
281,Prairie View A&M,SWAC,0-0,887,887,0,0,Away Team
282,Hartford,AE,0-0,886,886,0,0,Away Team
283,Radford,BSth,0-0,885,885,0,0,Away Team
284,Bowling Green,MAC,0-0,884,884,0,0,Away Team
285,North Carolina Central,MEAC,0-0,883,883,0,0,Away Team
286,Albany,AE,0-0,881,881,0,0,Away Team
287,Illinois Chicago,Horz,0-0,881,881,0,0,Away Team
288,San Jose St.,MWC,0-0,880,880,0,0,Away Team
289,North Carolina A&T,BSth,0-0,878,878,0,0,Away Team
290,Binghamton,AE,0-0,878,878,0,0,Away Team
291,Austin Peay,OVC,0-0,877,877,0,0,Away Team
292,Morgan St.,MEAC,0-0,876,876,0,0,Away Team
293,Pacific,WCC,0-0,876,876,0,0,Away Team
294,Denver,Sum,0-0,875,875,0,0,Away Team
295,Army,Pat,0-0,874,874,0,0,Away Team
296,Western Carolina,SC,0-0,872,872,0,0,Away Team
297,Northern Illinois,MAC,0-0,872,872,0,0,Away Team
298,SIU Edwardsville,OVC,0-0,870,870,0,0,Away Team
299,Merrimack,NEC,0-0,869,869,0,0,Away Team
300,Coppin St.,MEAC,0-0,868,868,0,0,Away Team
301,UT Rio Grande Valley,WAC,0-0,867,867,0,0,Away Team
302,Lehigh,Pat,0-0,863,863,0,0,Away Team
303,Grambling St.,SWAC,0-0,861,861,0,0,Away Team
304,Stetson,ASun,0-0,859,859,0,0,Away Team
305,St. Thomas,Sum,0-0,859,859,0,0,Away Team
306,South Carolina St.,MEAC,0-0,858,858,0,0,Away Team
307,Tennessee Martin,OVC,0-0,857,857,0,0,Away Team
308,Cal Poly,BW,0-0,856,856,0,0,Away Team
309,Florida A&M,SWAC,0-0,856,856,0,0,Away Team
310,McNeese St.,Slnd,0-0,853,853,0,0,Away Team
311,Alabama St.,SWAC,0-0,851,851,0,0,Away Team
312,UTSA,CUSA,0-0,851,851,0,0,Away Team
313,Maryland Eastern Shore,MEAC,0-0,851,851,0,0,Away Team
314,Alabama A&M,SWAC,0-0,847,847,0,0,Away Team
315,North Alabama,ASun,0-0,847,847,0,0,Away Team
316,Eastern Michigan,MAC,0-0,846,846,0,0,Away Team
317,Sacramento St.,BSky,0-0,845,845,0,0,Away Team
318,Central Michigan,MAC,0-0,844,844,0,0,Away Team
319,Central Arkansas,ASun,0-0,840,840,0,0,Away Team
320,Sacred Heart,NEC,0-0,840,840,0,0,Away Team
321,Evansville,MVC,0-0,840,840,0,0,Away Team
322,St. Francis NY,NEC,0-0,839,839,0,0,Away Team
323,Lafayette,Pat,0-0,837,837,0,0,Away Team
324,Idaho,BSky,0-0,835,835,0,0,Away Team
325,St. Francis PA,NEC,0-0,835,835,0,0,Away Team
326,Hampton,BSth,0-0,830,830,0,0,Away Team
327,Robert Morris,Horz,0-0,829,829,0,0,Away Team
328,Little Rock,SB,0-0,828,828,0,0,Away Team
329,Western Michigan,MAC,0-0,828,828,0,0,Away Team
330,Northwestern St.,Slnd,0-0,826,826,0,0,Away Team
331,American,Pat,0-0,817,817,0,0,Away Team
332,Cal St. Northridge,BW,0-0,817,817,0,0,Away Team
333,Bethune Cookman,SWAC,0-0,812,812,0,0,Away Team
334,Northern Arizona,BSky,0-0,809,809,0,0,Away Team
335,Milwaukee,Horz,0-0,808,808,0,0,Away Team
336,Bucknell,Pat,0-0,807,807,0,0,Away Team
337,Houston Baptist,Slnd,0-0,806,806,0,0,Away Team
338,William & Mary,CAA,0-0,804,804,0,0,Away Team
339,Idaho St.,BSky,0-0,802,802,0,0,Away Team
340,Chicago St.,WAC,0-0,801,801,0,0,Away Team
341,Southern Miss,CUSA,0-0,798,798,0,0,Away Team
342,NJIT,AE,0-0,793,793,0,0,Away Team
343,Green Bay,Horz,0-0,791,791,0,0,Away Team
344,Nebraska Omaha,Sum,0-0,789,789,0,0,Away Team
