Team,HCA
Pacific,2.6
Stony Brook,2.6
Central Michigan,2.6
Towson,2.6
Delaware,2.6
Jacksonville,2.6
Austin Peay,2.6
South Alabama,2.5
Arkansas Pine Bluff,2.5
Team,HCA
Manhattan,2.5
Illinois Chicago,2.5
Santa Clara,2.5
San Diego,2.5
Liberty,2.5
Mississippi Valley St.,2.5
UC Santa Barbara,2.5
Hawaii,2.5
Bethune Cookman,2.5
Niagara,2.5
High Point,2.5
UC San Diego,2.4
Oakland,2.4
Portland St.,2.4
Delaware St.,2.4
Presbyterian,2.4
Dartmouth,2.4
Fairfield,2.4
Lipscomb,2.4
Saint Peter's,2.4
Sacred Heart,2.4
Prairie View A&M,2.4
Bryant,2.4
Albany,2.4
Harvard,2.4
Mount St. Mary's,2.4
Lafayette,2.4
Penn,2.4
Northeastern,2.4
Eastern Washington,2.4
Cal Poly,2.4
Sacramento St.,2.4
UT Rio Grande Valley,2.4
UC Irvine,2.4
Iona,2.4
Wagner,2.4
New Hampshire,2.4
St. Francis PA,2.3
Maine,2.3
UC Davis,2.3
Team,HCA
Lehigh,2.3
Quinnipiac,2.3
American,2.3
Vermont,2.3
Gardner Webb,2.3
LIU,2.3
Cal St. Northridge,2.3
Northern Colorado,2.3
Rider,2.3
UMass Lowell,2.3
Central Connecticut,2.2
Brown,2.2
Radford,2.2
St. Francis NY,2.2
Hofstra,2.2
Merrimack,2.2
Loyola Marymount,2.2
Coppin St.,2.2
Colgate,2.2
UC Riverside,2.1
Stetson,2.1
Robert Morris,2.1
Marist,2.1
Columbia,2.1
UMBC,2
Longwood,2
Cal St. Fullerton,2
Grambling St.,2
Cornell,2
Portland,2
Princeton,2
Canisius,1.9
Hartford,1.9
Charleston Southern,1.9
Boston University,1.8
Yale,1.8
Fairleigh Dickinson,1.8
Navy,1.5
