Rk,Team,Conf,Rec,Elo
170,VMI,SC,16-16,996
171,Tulsa,Amer,20-Nov,994
172,Wright St.,Horz,22-14,994
173,Fordham,A10,16-16,991
174,Weber St.,BSky,21-12,990
175,Georgetown,BE,25-Jun,990
176,Norfolk St.,MEAC,24-7,990
177,UC Riverside,BW,16-12,988
178,UNC Greensboro,SC,17-15,987
179,East Carolina,Amer,15-15,983
180,Portland,WCC,19-15,983
181,Arkansas St.,SB,18-11,978
182,Samford,SC,21-11,978
183,Louisiana,SB,16-15,978
184,Navy,Pat,21-11,977
185,Massachusetts,A10,15-17,977
186,East Tennessee St.,SC,15-17,976
187,Texas Southern,SWAC,19-13,976
188,Oakland,Horz,20-12,975
189,Bryant,NEC,22-10,975
190,Niagara,MAAC,14-16,972
191,Illinois St.,MVC,13-20,972
192,Troy,SB,20-12,970
193,Cornell,Ivy,15-11,969
194,Old Dominion,CUSA,13-19,968
195,Pittsburgh,ACC,21-Nov,967
196,Mercer,SC,16-17,966
197,Cleveland St.,Horz,20-11,963
198,Northern Kentucky,Horz,20-12,961
199,Dartmouth,Ivy,16-Sep,955
200,Bellarmine,ASun,20-13,954
201,Charlotte,CUSA,17-14,953
202,Valparaiso,MVC,14-18,951
203,Loyola Marymount,WCC,18-Nov,950
204,Brown,Ivy,13-16,949
205,Nicholls St.,Slnd,21-12,948
206,Fairfield,MAAC,15-18,947
207,Marist,MAAC,14-16,946
208,Florida Gulf Coast,ASun,22-12,945
209,UNC Asheville,BSth,17-15,945
210,South Dakota,Sum,19-12,943
211,Penn,Ivy,16-Dec,938
212,Tarleton St.,WAC,14-17,937
213,Campbell,BSth,16-13,936
214,UMKC,Sum,19-12,934
215,Southern,SWAC,17-14,933
216,Northern Colorado,BSky,22-16,929
217,Eastern Washington,BSky,18-16,929
218,Boston University,Pat,22-13,926
219,Georgia,SEC,26-Jun,926
220,Rice,CUSA,16-17,923
221,UC Davis,BW,13-11,922
222,UT Arlington,SB,18-Nov,921
223,Kennesaw St.,ASun,13-18,920
224,Rider,MAAC,14-19,919
225,Cal Baptist,WAC,18-16,919
226,George Washington,A10,18-Dec,918
227,James Madison,CAA,15-14,914
228,Harvard,Ivy,13-13,914
229,La Salle,A10,19-Nov,914
230,Indiana St.,MVC,20-Nov,912
231,Quinnipiac,MAAC,14-17,908
232,San Diego,WCC,15-16,908
233,Oregon St.,P12,28-Mar,901
234,Howard,MEAC,16-13,900
235,LIU,NEC,16-14,898
236,Detroit Mercy,Horz,14-16,897
237,Purdue Fort Wayne,Horz,21-12,896
238,Marshall,CUSA,21-Dec,894
239,Siena,MAAC,15-14,894
240,UMBC,AE,18-14,889
241,The Citadel,SC,13-18,889
242,High Point,BSth,14-18,887
243,New Hampshire,AE,15-13,884
244,Southeast Missouri St.,OVC,14-18,882
